,venue_Neighborhood,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,venue_distance,venue_postalCode,venue_city,venue_state,venue_formattedAddress,venue_neighborhood,venue_address,venue_crossStreet
21,malga,5cd2107fdd12f8002cf11cd1,مطعم البخاري,Dutch Restaurant,False,24.789998,46.87334,27577,14813,الرياض,منطقة الرياض‎,"['الرياض 14813', 'المملكة العربية السعودية']",,,
22,malga,5b1334004f0e58002c88ff59,بخاري على كيفك,Dutch Restaurant,False,24.761767,46.787048,19326,13223,الرياض,منطقة الرياض‎,"['الرياض 13223', 'المملكة العربية السعودية']",,,
23,malga,5cae2b9cf8cbd4002c2fd10f,الاستراحه اللي محد يجيها,Dutch Restaurant,False,24.889247,46.618176,10009,13342,الرياض,منطقة الرياض‎,"['الرياض 13342', 'المملكة العربية السعودية']",,,
24,malga,5c876a1c628c83002c9cac0a,Abu Jbara Restaurant,Dutch Restaurant,False,24.814231,46.816568,21864,13252,الرياض,منطقة الرياض‎,"['الرياض 13252', 'المملكة العربية السعودية']",,,
25,malga,5d7f89f0f290e100082cb166,مطعم تاج المثلوثه للمأكولات السعودية,Dutch Restaurant,False,24.624714,46.687039,21451,12746,الرياض,منطقة الرياض‎,"['الرياض 12746', 'المملكة العربية السعودية']",,,
26,malga,5d56a50313ed880008129e91,مكان ألماس RESTAURANT ALMAS,Dutch Restaurant,False,24.678145,46.727766,18741,12831,الرياض,منطقة الرياض‎,"['الرياض 12831', 'المملكة العربية السعودية']",,,
28,malga,59287ac5cad1b6573077cd6d,Roast Cuisine (روست كوزين),Dutch Restaurant,False,24.804252528291343,46.69424809980324,9460,13317,الرياض,منطقة الرياض‎,"['الرياض 13317', 'المملكة العربية السعودية']",,,
0,malga,5e29f54febe2870007ce133e,قف مي فايف,Eastern European Restaurant,False,24.818434,46.595854,2030,13525,الرياض,منطقة الرياض‎,"['الرياض 13525', 'المملكة العربية السعودية']",,,
1,malga,5144afc6e4b016fae368a1f7,Alrwad (الرواد),Eastern European Restaurant,False,24.709257690812542,46.628417561937205,10561,,الرياض,منطقة الرياض‎,"['Al Raed District (King Abdullah Road)', 'الرياض', 'المملكة العربية السعودية']",Al Raed District,Al Raed District,King Abdullah Road
2,malga,52a5a4ca11d2df415770ca9c,Holiday Inn Izzdihar - Resturant,Eastern European Restaurant,False,24.7873496,46.7121359,11359,11468,الرياض,منطقة الرياض‎,"['Ash Shaikh Abdulwahab Bin Abdullah, Al Izdihar، Riyadh 12487, Saudi Arabia', 'الرياض 11468', 'المملكة العربية السعودية']",,"Ash Shaikh Abdulwahab Bin Abdullah, Al Izdihar، Riyadh 12487, Saudi Arabia",
3,malga,50af5c5fe4b09d9e06d66674,الفخار التركي,Eastern European Restaurant,False,24.75229300941666,46.768665526807766,17812,,,,['المملكة العربية السعودية'],,,
