,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,neighborhood,verified,likes_count,rating,neighborhood_lat_lng
444,5ef20c29631a0a00085e722f,Sushih سوشيه,Theme Restaurant,False,24.69246,46.683881, Al Olaya District حي العليا,False,6,7.8,"24.69216205,46.686588958007334"
445,5a6a23f61499466d519b0825,Ghadwa Ashwa EXPRESS (غدوة عشوة اكسبريس),Theme Restaurant,False,24.76197180240489,46.625661909170866, Al Aqeeq District حي العقيق,True,114,8.6,"24.7798792,46.6268087019194"
446,5cc3137d286fda0039b43bad,بر,Theme Restaurant,False,24.755953,46.629914, Al Aqeeq District حي العقيق,False,5,6.4,"24.7798792,46.6268087019194"
447,5ae9fdd5ca18ea002cd6d06f,Antica Armany,Theme Restaurant,False,24.73786,46.658359999999995, Al Muhammadiyah District حي المحمدية,False,0,7.8,"24.731797649999997,46.64991017633719"
448,58053886d67c2c9fa44c8420,جدو علي,Theme Restaurant,False,24.802948,46.760171, Ghirnatah District حي غرناطة,False,1,7.8,"24.7919157,46.74432949210845"
449,57f2b7d8498e96a429ceff0f,مطبق تلال غوار,Theme Restaurant,False,24.586772,46.78035, Al Aziziyah District حي العزيزية,False,0,7.8,"24.58942265,46.77363440285736"
450,5bf1c3623149b9002c9cf28b,توب كابي,Theme Restaurant,False,24.694518,46.679699, Al Olaya District حي العليا,False,2,7.8,"24.69216205,46.686588958007334"
451,539cac73498ef2194142e51f,استراحة تركي بن محمد,Theme Restaurant,False,24.781893277781915,46.61653764737605, Al Aqeeq District حي العقيق,False,0,7.8,"24.7798792,46.6268087019194"
452,5bcd7769e65d0c003929f7ef,Rosemary (اكليل الجبل),Theme Restaurant,False,24.786579999999997,46.727051, Ghirnatah District حي غرناطة,False,0,7.8,"24.7919157,46.74432949210845"
453,5c765e60121384002c923de7,Fitway,Theme Restaurant,False,24.785712057115436,46.61318690152709, Al Malga District حي الملقا,False,104,8.5,"24.800734900000002,46.60070282369142"
454,58ad7b964988da4c80579eee,Tent Breeze Restaurant,Turkish Restaurant,False,24.812879161429585,46.5994991893614, Al Malga District حي الملقا,False,16,6.7,"24.800734900000002,46.60070282369142"
455,5ed1eff025ffd500081a115b,Mamma Noura (ماما نوره),Middle Eastern Restaurant,False,24.809322,46.763346000000006, Ghirnatah District حي غرناطة,False,2,7.8,"24.7919157,46.74432949210845"
456,50e31ba4e4b01580b75bf071,مطعم خندلة,Turkish Restaurant,False,24.586298056381803,46.781898862153085, Al Aziziyah District حي العزيزية,False,13,8.4,"24.58942265,46.77363440285736"
457,568fb7ea498e7bcf9edae514,Marmara Istanbul Restaurant,Turkish Restaurant,False,24.569081305040022,46.753872969574566, Al Aziziyah District حي العزيزية,False,3,7.8,"24.58942265,46.77363440285736"
458,4f3a6d4fe4b07324284dbf8d,مطعم فروج الكروان,Turkish Restaurant,False,24.694063020448493,46.678437278589975, Al-Ma'athar Al-Shimali District حي المعذر الشمالي,False,434,7.9,"24.69216205,46.66616924924594"
